Nome,Dono,Estrelas,Maturidade (anos),Arquivos de Teste
Java,TheAlgorithms,61674,8.86,1219
JCSprout,crossoverJie,27100,7.44,52
fastjson,alibaba,25764,13.57,3060
incubator-seata,apache,25636,6.41,31
HikariCP,brettwooldridge,20455,11.64,106
disruptor,LMAX-Exchange,17814,12.68,100
JustAuth,justauth,16975,6.32,26
cryptomator,cryptomator,12877,11.32,56
greenDAO,greenrobot,12621,13.6,18
Mybatis-PageHelper,pagehelper,12290,10.97,118
jedis,redis,12069,14.96,566
jsoup,jhy,11168,15.44,117
interview,mission-peace,11166,10.85,35
javapoet,square,10863,12.32,44
Java-WebSocket,TooTallNate,10662,15.35,131
spark,perwendel,9663,14.07,100
Mycat-Server,MyCATApache,9552,10.48,110
mini-spring,DerekYRC,6029,4.52,48
ssm,liyifeng1994,5962,8.94,11
traccar,traccar,5871,13.12,802
JSqlParser,JSQLParser,5691,13.93,424
lettuce,redis,5583,11.05,655
socket.io-client-java,socketio,5386,12.08,22
thumbnailator,coobird,5272,9.84,87
dddsample-core,citerus,5146,10.32,75
sensitive-word,houbb,5053,5.38,88
QLExpress,alibaba,5053,8.2,200
spring-mvc-showcase,spring-attic,4982,13.99,35
mapdb,jankotek,4979,12.78,52
java-faker,DiUS,4860,13.98,203
aviatorscript,killme2008,4828,14.17,156
reflections,ronmamo,4756,12.12,36
spring-security-oauth,spring-attic,4695,13.84,157
JSON-java,stleary,4624,14.44,38
javacpp,bytedeco,4584,11.1,17
GCViewer,chewiebug,4540,13.6,140
objectbox-java,objectbox,4503,8.34,45
java-algorithms-implementation,phishman3579,4497,11.52,66
dynamic-tp,dromara,4405,3.38,54
android-volley,mcxiaoke,4284,12.02,54
powermock,powermock,4186,11.0,269
maxwell,zendesk,4127,10.29,104
tiny-spring,code4craft,4076,11.38,14
Leetcode,fishercoder1534,3911,8.82,2272
sofa-rpc,sofastack,3880,7.13,95
ripme,RipMeApp,3880,8.39,236
bundletool,google,3726,7.06,238
junit4,junit-team,8529,16.37,412
ysoserial,frohoff,8229,10.33,27
baritone,cabaletta,7801,6.82,12
elasticsearch-sql,NLPchina,7020,10.76,37
netty-socketio,mrniko,6953,13.38,32
fernflower,fesh0r,3656,10.65,12
grpc-spring,grpc-ecosystem,3621,8.41,62
brigadier,Mojang,3543,10.7,50
Chronicle-Queue,OpenHFT,3479,11.99,313
chatgpt-java,Grt1228,3447,2.28,18
lombok-intellij-plugin,mplushnikov,3101,11.63,300
jwt-spring-security-demo,szerhusenBC,3080,9.19,14
spring,mybatis,2872,12.27,69
classgraph,classgraph,2850,10.78,217
commons-lang,apache,2797,16.02,463
Algorithms,pedrovgs,2787,10.55,160
aws-cf-templates,widdix,2772,9.58,44
java-string-similarity,tdebatty,2716,11.11,32
docker-maven-plugin,spotify,2658,10.93,19
emoji-java,vdurmont,2644,10.68,10
webdrivermanager,bonigarcia,2630,10.2,172
JavaVerbalExpressions,VerbalExpressions,2630,11.84,14
J2V8,eclipsesource,2588,10.82,65
jobrunr,jobrunr,2576,5.15,11
sshj,hierynomus,2555,15.25,134
yugong,alibaba,2515,9.24,17
jcasbin,casbin,2499,7.72,54
http-kit,http-kit,2479,13.21,12
sofa-bolt,sofastack,2472,7.13,150
logstash-logback-encoder,logfellow,2471,12.23,86
